Date,Mean Temp (C),Max Temp (C),Min Temp (C),R. Humidity (%),Wind Speed (m/s),S. Pressure (kPa),Incoming Radiation (MJ/m²),Outgoing Longwave Radiation (Rnl),Net Radiation (MJ/m²/day),ET0 (mm/day)
01-01-1985,19.35,28.92,11.85,25.38,2.39,96.66,1.2943,-2.1638,-1.1672,3.0625
02-01-1985,18.2,27.43,10.2,25.31,2.06,96.92,1.3625,-2.111,-1.0618,2.5981
03-01-1985,18.77,28.13,10.14,28.25,2.17,96.98,1.3729,-2.0481,-0.9909,2.6611
04-01-1985,21.37,31.23,12.73,32.94,2.94,96.79,1.3945,-1.9462,-0.8724,3.5216
05-01-1985,20.34,29.41,12.38,21.38,2.23,96.68,1.398,-2.1704,-1.094,3.1037
06-01-1985,19.23,27.97,12.47,30.5,1.84,96.7,1.4463,-1.9835,-0.8698,2.2591
07-01-1985,19.14,28.67,10.91,37.5,2.33,96.69,1.442,-1.8719,-0.7615,2.5305
08-01-1985,19.58,28.64,13.55,32.62,1.89,96.79,1.4118,-1.9854,-0.8983,2.2774
09-01-1985,20.12,29.66,11.4,30.88,1.52,96.79,1.3928,-1.9993,-0.9268,1.8939
10-01-1985,21.33,30.53,13.82,25.88,1.74,96.77,1.404,-2.0932,-1.0121,2.3882
11-01-1985,21.3,29.17,13.6,26.38,1.53,96.7,1.4412,-2.0406,-0.9309,2.0612
12-01-1985,19.73,29.98,10.94,33.81,1.8,96.72,1.4256,-1.9507,-0.853,2.1526
13-01-1985,19.98,30.06,11.24,31.88,2.45,96.91,1.4386,-1.9747,-0.867,2.9617
14-01-1985,20.47,30.39,11.33,28.62,2.2,96.84,1.4679,-2.0077,-0.8774,2.8434
15-01-1985,20.9,29.79,13.41,31.94,2.11,96.76,1.5345,-1.9151,-0.7336,2.6447
16-01-1985,20.09,30.17,12.41,20.12,2.7,96.95,1.5785,-2.1326,-0.9171,3.8442
17-01-1985,21.44,30.37,12.74,25.62,1.66,96.97,1.5379,-2.0194,-0.8353,2.3188
18-01-1985,24.41,30.53,17.62,42.12,1.63,96.78,1.4256,-1.7238,-0.6261,1.8483
19-01-1985,21.97,29.87,15.34,29.12,2.98,96.64,1.4481,-2.0194,-0.9044,3.751
20-01-1985,20.15,29.2,10.87,32.94,1.3,96.61,1.4904,-1.9279,-0.7803,1.5789
21-01-1985,20.59,30.49,11.55,35.31,1.91,96.54,1.5008,-1.8975,-0.7419,2.2768
22-01-1985,20.56,29.7,12.72,39.5,3.58,96.84,1.5241,-1.825,-0.6515,3.6635
23-01-1985,21.29,30.35,13.15,39.44,2.47,97.01,1.6079,-1.7715,-0.5334,2.7647
24-01-1985,21.9,31.83,13.28,28.75,2.02,96.88,1.5345,-2.0019,-0.8203,2.7392
25-01-1985,21.92,32.55,12.75,21.38,1.84,96.64,1.4999,-2.1852,-1.0303,2.7528
26-01-1985,22.31,32.51,14.81,18.56,2.23,96.42,1.4921,-2.2783,-1.1294,3.4379
27-01-1985,21.25,30.58,13.55,28.06,2.52,96.49,1.5336,-2.0352,-0.8543,3.2972
28-01-1985,21.57,31.1,14.33,12.88,2.32,96.58,1.5751,-2.3742,-1.1614,3.7322
29-01-1985,22.08,32.76,13.13,16.38,2.02,96.61,1.5777,-2.2815,-1.0667,3.2256
30-01-1985,23.1,33.12,13.95,23.25,1.99,96.48,1.6476,-2.0667,-0.798,2.9992
31-01-1985,23.8,33.39,16.51,31.75,1.98,96.33,1.626,-1.9156,-0.6636,2.7162
01-02-1985,22.21,31.4,14.37,26.12,2.68,96.49,1.5042,-2.1043,-0.946,3.6312
02-02-1985,22.15,31.6,13.07,18.75,1.97,96.63,1.5396,-2.2436,-1.0581,3.0009
03-02-1985,22.9,32.69,12.84,16.81,1.29,96.55,1.5587,-2.2812,-1.081,2.0484
04-02-1985,23.79,34.62,15.06,15.25,2.18,96.26,1.6183,-2.333,-1.0869,3.6481
05-02-1985,22.99,32.83,14.83,29.0,2.85,96.05,1.7582,-1.9257,-0.5718,3.8582
06-02-1985,22.07,31.69,13.44,24.25,1.55,96.06,1.6494,-2.0837,-0.8137,2.2591
07-02-1985,21.96,32.3,12.42,15.31,1.3,96.17,1.6753,-2.2836,-0.9936,2.1044
08-02-1985,21.27,32.03,12.35,15.75,2.27,96.09,1.6433,-2.3088,-1.0435,3.5539
09-02-1985,21.36,32.18,12.1,15.69,1.65,96.08,1.6494,-2.3092,-1.0392,2.6331
10-02-1985,21.12,32.17,12.19,14.31,2.09,96.15,1.6528,-2.3562,-1.0835,3.349
11-02-1985,20.65,31.37,12.08,9.44,2.77,96.31,1.6753,-2.4851,-1.1951,4.4866
12-02-1985,19.9,30.91,11.48,6.06,2.52,96.42,1.6451,-2.6261,-1.3594,4.2017
13-02-1985,20.38,31.51,10.52,7.38,2.22,96.3,1.6926,-2.5403,-1.237,3.734
14-02-1985,20.93,32.19,11.76,7.38,2.73,96.25,1.8092,-2.4936,-1.1005,4.6171
15-02-1985,20.47,31.49,11.55,7.12,2.47,96.32,1.836,-2.4837,-1.0699,4.1919
16-02-1985,21.01,32.78,10.69,7.31,1.73,96.29,1.8671,-2.4661,-1.0284,3.0716
17-02-1985,22.83,34.0,10.83,8.0,1.52,96.38,1.8835,-2.4313,-0.981,2.7621
18-02-1985,24.01,34.95,14.54,10.81,1.48,96.33,1.8343,-2.4171,-1.0047,2.6768
19-02-1985,24.23,34.58,14.83,25.5,2.85,96.28,1.8144,-2.0276,-0.6306,4.1694
20-02-1985,22.49,32.65,15.55,15.5,3.03,96.5,1.7548,-2.3444,-0.9932,4.7766
21-02-1985,20.58,32.43,11.52,9.38,2.93,96.64,1.8308,-2.4658,-1.056,4.8301
22-02-1985,22.17,33.9,11.93,8.12,1.88,96.59,1.8308,-2.5199,-1.1101,3.3641
23-02-1985,23.11,35.59,11.87,6.5,1.7,96.47,1.8982,-2.5631,-1.1015,3.1932
24-02-1985,23.86,36.15,13.12,6.75,2.45,96.43,1.8801,-2.5878,-1.1402,4.5522
25-02-1985,24.73,36.46,15.14,8.56,2.21,96.48,1.9682,-2.4852,-0.9697,4.1642
26-02-1985,24.99,37.23,14.69,4.56,1.98,96.42,1.9457,-2.6931,-1.1949,3.9038
27-02-1985,25.63,38.65,14.17,5.56,1.66,96.48,1.8982,-2.688,-1.2264,3.2965
28-02-1985,25.74,38.3,14.76,8.81,2.85,96.55,1.7755,-2.6199,-1.2527,5.2913
01-03-1985,26.38,37.55,16.5,17.19,3.01,96.47,1.7997,-2.3061,-0.9203,5.0919
02-03-1985,27.62,38.45,18.75,16.88,2.99,96.38,1.8524,-2.2998,-0.8734,5.226
03-03-1985,27.41,38.87,17.6,13.12,2.44,96.29,1.9094,-2.4018,-0.9315,4.5417
04-03-1985,27.87,39.78,17.25,10.69,2.09,96.48,1.9639,-2.4695,-0.9574,4.0916
05-03-1985,28.87,39.86,17.65,7.19,1.62,96.61,1.9716,-2.6147,-1.0966,3.3104
06-03-1985,27.98,40.29,17.36,9.44,2.66,96.47,2.0503,-2.4927,-0.914,5.241
07-03-1985,29.34,40.41,19.38,12.88,2.4,96.38,1.9647,-2.4007,-0.8878,4.643
08-03-1985,29.4,40.4,19.64,11.38,2.12,96.56,1.9794,-2.4617,-0.9376,4.2065
09-03-1985,29.09,40.31,18.84,11.38,2.12,96.68,1.8991,-2.5076,-1.0453,4.1581
10-03-1985,28.84,39.72,19.65,11.5,2.62,96.56,1.8818,-2.5259,-1.0769,5.026
11-03-1985,28.88,39.69,18.5,10.0,1.71,96.59,2.0589,-2.4788,-0.8934,3.4424
12-03-1985,29.37,40.23,20.12,10.19,2.48,96.55,1.9898,-2.5362,-1.004,4.9195
13-03-1985,29.56,40.23,20.61,10.5,2.54,96.46,2.0511,-2.4962,-0.9168,5.0453
14-03-1985,29.12,40.3,19.51,8.38,2.23,96.35,2.1272,-2.5527,-0.9148,4.5589
15-03-1985,29.37,41.05,19.37,6.69,2.11,96.42,2.166,-2.6287,-0.9609,4.4397
16-03-1985,29.58,40.29,20.11,7.25,1.99,96.37,2.2213,-2.5659,-0.8554,4.1801
17-03-1985,29.77,39.19,21.41,12.25,3.13,96.27,2.1548,-2.3766,-0.7174,5.955
18-03-1985,28.48,38.22,20.03,10.69,3.23,96.24,1.9742,-2.5409,-1.0208,6.0089
19-03-1985,27.11,37.98,17.77,5.69,2.63,96.34,1.8922,-2.8261,-1.3691,5.1207
20-03-1985,27.58,38.66,16.18,5.56,1.69,96.39,1.9596,-2.7786,-1.2697,3.3832
21-03-1985,27.78,36.89,19.05,7.56,1.22,96.43,2.0572,-2.6309,-1.0468,2.3991
22-03-1985,29.3,38.37,22.16,11.38,1.41,96.34,2.0442,-2.5071,-0.933,2.7826
23-03-1985,29.66,39.7,20.65,16.88,2.77,96.05,2.1678,-2.2288,-0.5596,5.1049
24-03-1985,28.93,38.52,20.04,27.25,3.53,96.11,2.2568,-1.8866,-0.1489,5.4868
25-03-1985,29.71,39.21,20.3,27.81,2.87,96.33,2.2913,-1.8418,-0.0775,4.6616
26-03-1985,30.84,40.1,21.82,19.5,2.57,96.34,2.2404,-2.0991,-0.374,4.7435
27-03-1985,30.72,40.07,22.09,19.38,3.43,96.22,2.2697,-2.1018,-0.3541,6.1002
28-03-1985,31.47,40.55,23.78,19.38,3.37,96.12,1.7004,-2.3582,-1.0489,5.9096
29-03-1985,31.98,40.7,22.76,20.19,2.69,96.11,1.0308,-2.583,-1.7893,4.5462
30-03-1985,32.55,40.11,25.7,21.62,2.04,96.18,1.3496,-2.3957,-1.3565,3.5313
31-03-1985,28.08,34.17,23.71,36.5,3.17,96.36,1.6312,-1.9336,-0.6776,4.0935
01-04-1985,29.63,37.77,21.65,39.5,2.35,96.53,2.2516,-1.596,0.1377,3.3166
02-04-1985,29.72,36.0,24.65,35.12,1.75,96.46,2.3803,-1.6619,0.1709,2.7532
03-04-1985,29.24,37.83,20.3,27.44,2.52,96.28,2.3924,-1.8472,-0.0051,4.1359
04-04-1985,28.94,37.71,20.03,29.5,2.74,96.22,2.3829,-1.81,0.0248,4.3059
05-04-1985,29.22,38.45,20.01,28.94,2.49,96.24,2.3354,-1.8428,-0.0445,4.0219
06-04-1985,30.5,38.74,21.42,28.0,2.81,96.25,2.02,-1.9517,-0.3963,4.4808
07-04-1985,31.65,39.71,23.26,28.81,3.57,96.02,1.9457,-1.9367,-0.4384,5.547
08-04-1985,31.01,39.15,23.3,29.69,4.39,95.86,2.0399,-1.9036,-0.3329,6.4584
09-04-1985,30.78,39.46,21.99,39.06,4.31,95.87,2.1108,-1.6334,-0.0081,5.5675
10-04-1985,30.78,39.89,23.83,30.69,4.2,96.04,2.1021,-1.885,-0.2663,6.2475
11-04-1985,30.56,40.69,20.07,16.06,2.62,95.99,2.2067,-2.2927,-0.5936,4.952
12-04-1985,31.23,41.18,21.37,18.75,3.22,95.95,2.2334,-2.1864,-0.4666,5.8516
13-04-1985,30.76,39.73,22.31,22.94,4.23,95.84,2.3129,-2.0254,-0.2444,6.9127
14-04-1985,29.76,38.91,20.68,21.62,3.68,95.94,2.23,-2.1103,-0.3932,6.1096
15-04-1985,29.7,39.62,19.65,15.06,2.78,96.12,2.2222,-2.341,-0.6299,5.1902
16-04-1985,30.42,40.65,20.02,13.5,2.51,96.3,2.2075,-2.4116,-0.7119,4.8883
17-04-1985,31.41,41.16,22.14,12.88,2.9,96.17,2.1885,-2.4574,-0.7723,5.6822
18-04-1985,31.83,41.88,21.76,14.69,3.41,96.02,2.2118,-2.3647,-0.6616,6.4842
19-04-1985,32.19,41.71,22.45,15.75,3.52,96.03,2.2939,-2.2819,-0.5156,6.6317
20-04-1985,34.27,43.72,24.56,13.19,3.63,96.23,2.4166,-2.3308,-0.47,7.3152
21-04-1985,34.97,43.79,25.84,15.62,4.09,96.32,2.4019,-2.2215,-0.3721,7.9587
22-04-1985,35.4,43.73,27.0,16.88,3.84,96.06,2.363,-2.1816,-0.3621,7.4669
23-04-1985,34.58,42.53,26.48,16.19,3.81,95.86,2.211,-2.2855,-0.5831,7.2752
24-04-1985,33.41,41.7,26.34,16.81,3.85,95.86,2.3587,-2.2306,-0.4144,7.2407
25-04-1985,31.9,41.13,23.04,21.12,4.09,96.02,2.1626,-2.1562,-0.491,7.0024
26-04-1985,32.92,42.43,23.43,19.62,3.69,96.14,2.1393,-2.2048,-0.5575,6.6717
27-04-1985,33.47,42.56,23.75,21.0,3.91,96.05,2.1142,-2.1452,-0.5173,6.9188
28-04-1985,33.33,42.58,24.22,20.25,4.12,96.05,2.2352,-2.1417,-0.4207,7.3416
29-04-1985,33.46,42.81,24.61,16.56,3.85,95.97,2.2585,-2.2861,-0.547,7.2614
30-04-1985,32.59,42.72,22.58,18.56,4.92,95.83,2.3579,-2.1736,-0.358,8.5956
01-05-1985,31.48,40.8,22.08,31.38,5.41,95.7,2.4348,-1.7536,0.1212,7.6515
02-05-1985,30.64,39.01,22.06,39.06,4.59,95.83,2.3095,-1.6173,0.161,5.8533
03-05-1985,30.51,38.19,22.62,37.31,4.52,95.97,2.2637,-1.6782,0.0648,5.8808
04-05-1985,31.27,39.63,22.32,34.75,4.36,95.92,2.1004,-1.7698,-0.1525,6.0106
05-05-1985,32.48,41.4,23.06,30.0,4.17,95.93,2.1021,-1.8755,-0.2569,6.3875
06-05-1985,33.89,42.77,24.07,27.69,4.22,96.07,2.1203,-1.9016,-0.269,6.8395
07-05-1985,35.71,44.34,25.59,18.25,3.71,96.16,1.7358,-2.3711,-1.0346,6.9479
08-05-1985,37.16,45.45,28.58,14.44,3.84,96.07,1.6088,-2.6203,-1.3815,7.6227
09-05-1985,37.19,45.19,29.25,13.88,4.04,96.02,2.2732,-2.3793,-0.629,8.2489
10-05-1985,36.79,44.48,28.48,18.19,3.64,96.01,2.2559,-2.1684,-0.4314,7.1258
11-05-1985,35.87,44.01,27.18,18.88,3.85,95.96,2.3371,-2.1261,-0.3265,7.3414
12-05-1985,36.16,44.59,27.14,19.12,3.87,95.88,2.2308,-2.1519,-0.4341,7.3659
13-05-1985,35.98,44.42,26.11,25.56,4.41,95.79,2.2861,-1.8657,-0.1054,7.5865
14-05-1985,35.82,43.83,27.63,23.62,4.79,95.72,2.0442,-2.0418,-0.4678,8.2246
15-05-1985,35.53,44.08,26.19,22.5,4.38,95.76,2.2507,-2.0172,-0.2841,7.7692
16-05-1985,34.91,43.51,26.17,20.62,3.72,95.94,2.2775,-2.105,-0.3513,6.8822
17-05-1985,36.73,45.39,27.62,13.81,3.88,95.99,2.2697,-2.394,-0.6463,7.9153
18-05-1985,37.48,45.8,28.01,12.38,4.01,95.95,2.2818,-2.4521,-0.6951,8.3281
19-05-1985,37.61,46.07,29.0,13.69,4.71,95.78,2.2697,-2.3977,-0.65,9.4731
20-05-1985,36.76,45.51,27.62,19.69,5.27,95.65,2.4538,-2.0444,-0.155,9.6373
21-05-1985,35.3,44.01,25.82,27.94,4.6,95.49,2.3812,-1.7842,0.0493,7.5678
22-05-1985,35.71,44.06,26.24,29.06,4.43,95.52,2.3363,-1.7427,0.0562,7.2564
23-05-1985,35.9,44.33,26.55,29.94,5.56,95.43,2.1678,-1.7589,-0.0897,8.5785
24-05-1985,35.44,43.8,26.66,34.44,6.16,95.32,2.1721,-1.6275,0.045,8.6501
25-05-1985,34.76,43.46,26.14,37.69,6.2,95.37,2.1868,-1.5557,0.1281,8.2143
26-05-1985,34.15,42.2,26.23,39.81,5.51,95.52,2.211,-1.5133,0.1892,7.1582
27-05-1985,33.76,41.85,25.92,35.0,4.8,95.53,2.2611,-1.658,0.083,6.8713
28-05-1985,33.8,41.3,24.99,34.44,4.53,95.47,2.2706,-1.6546,0.0938,6.54
29-05-1985,34.58,41.07,26.83,36.0,3.74,95.55,2.1868,-1.6004,0.0834,5.5241
30-05-1985,33.79,38.6,28.21,42.62,3.22,95.68,2.3656,-1.4028,0.4188,4.389
31-05-1985,33.2,38.47,27.94,44.56,4.51,95.77,2.4114,-1.3755,0.4813,5.5343
01-06-1985,33.39,40.18,26.58,42.75,5.35,95.67,2.1272,-1.4855,0.1524,6.488
02-06-1985,33.08,39.84,25.97,45.06,5.37,95.63,1.6986,-1.5383,-0.2303,6.0885
03-06-1985,33.26,40.03,25.49,42.88,4.88,95.64,1.9613,-1.5206,-0.0104,5.9347
04-06-1985,33.6,39.85,26.64,43.25,3.88,95.67,2.0097,-1.4847,0.0627,4.9629
05-06-1985,34.79,40.83,26.87,38.56,4.02,95.69,1.8973,-1.5838,-0.1228,5.5614
06-06-1985,35.21,42.08,27.52,36.62,4.64,95.68,2.2974,-1.5335,0.2355,6.669
07-06-1985,32.87,38.44,27.37,44.5,5.24,95.78,2.3077,-1.4198,0.3571,6.1384
08-06-1985,32.37,38.28,26.19,46.38,5.36,95.74,2.2369,-1.4102,0.3122,5.9498
09-06-1985,32.4,39.51,25.98,49.0,6.7,95.83,2.2663,-1.348,0.397,6.7818
10-06-1985,32.29,39.95,25.73,48.88,6.69,95.76,2.2092,-1.3736,0.3275,6.8022
11-06-1985,33.17,41.1,25.51,45.38,5.33,95.62,2.0892,-1.4409,0.1677,6.2072
12-06-1985,34.19,41.74,25.63,42.25,4.1,95.64,2.1298,-1.4563,0.1836,5.4071
13-06-1985,35.01,42.61,26.44,38.69,5.04,95.65,2.0235,-1.55,0.0081,6.82
14-06-1985,34.72,42.62,26.87,39.75,5.75,95.58,2.0909,-1.5241,0.0859,7.4536
15-06-1985,33.37,41.0,26.38,44.56,6.48,95.53,2.3423,-1.3958,0.4078,7.3706
16-06-1985,33.34,41.4,25.37,46.12,5.77,95.41,2.3172,-1.3592,0.4251,6.579
17-06-1985,33.12,40.87,26.29,46.38,5.91,95.36,2.3086,-1.3716,0.406,6.6464
18-06-1985,32.4,39.99,25.64,46.44,6.6,95.42,2.3466,-1.3939,0.413,7.0617
19-06-1985,32.19,39.76,25.62,46.88,6.34,95.52,2.306,-1.404,0.3717,6.7764
